数据编号,用例编号,用户名,密码,验证码,预期结果编号
D001,TC001,admin,admin123,0,1
D002,TC002,,admin123,0,2
D003,TC003,abcdef,admin123,0,3
D004,TC003,1587625,admin123,0,3
D005,TC003,abc1234,admin123,0,3
D006,TC003,abcdefghigklmnopqrstuvwxyz111111111111111111111111111111111111122222222222222222222222222222222222222222222222222222222222233333333333333333,admin123,0,3
D007,TC003,admin#\\admin,admin123,0,3
D008,TC004,admin,,0,3
D009,TC005,admin,1234ADD,0,3
D010,TC005,admin,12345,0,3
D011,TC005,admin,abcde,0,3
D012,TC005,admin,abcd!@#123,0,3
D013,TC006,admin,admin123,,4
D014,TC007,,admin123,,5
D015,TC008,admin,admin123,AAA,6
D016,TC009,abcdefg,admin123,AAAAA,6
D017,TC009,1234,admin123,12345,6
D018,TC010,,,,5
